GEOID,distr_name,total_worker_pop,agro,construct,manufact,wholesale,retail,transport_util,info,finance_realest,prof_sci_mgmt_adm,edu_health,arts_ent_food_rec,otherserv,public_admin
5001300US0625,"Congressional District 25 (113th Congress), California",305669,2145,20209,34834,8434,34159,14054,13078,23880,33048,63441,26942,15457,15988
5001300US0626,"Congressional District 26 (113th Congress), California",326619,18643,18118,32820,11550,36433,10502,7983,24364,40626,62352,29910,16876,16442
5001300US0627,"Congressional District 27 (113th Congress), California",336433,1280,14934,27063,14283,32087,15467,10850,26532,42060,85258,30430,19463,16726
5001300US0628,"Congressional District 28 (113th Congress), California",366133,888,13698,24212,9253,35865,11863,35293,24956,52943,71785,48407,27022,9948
5001300US0629,"Congressional District 29 (113th Congress), California",315898,2366,29666,34769,8352,36177,13541,12271,16813,37628,59620,32788,25611,6296
5001300US0630,"Congressional District 30 (113th Congress), California",357742,989,17037,26509,8827,37628,9741,26375,34437,54098,75649,37401,20845,8206
5001300US0631,"Congressional District 31 (113th Congress), California",289095,1832,18869,27608,9894,36000,19934,4257,14944,24848,75412,25236,14880,15381
5001300US0632,"Congressional District 32 (113th Congress), California",307846,2318,19937,39946,14880,36751,18909,6171,17326,30902,63103,27555,17256,12792
5001300US0633,"Congressional District 33 (113th Congress), California",361804,843,10165,32540,12637,29562,10604,28922,35881,65937,78343,32349,14752,9269
5001300US0634,"Congressional District 34 (113th Congress), California",317182,1467,23897,38051,11481,35195,13162,11414,15455,35332,54027,42400,27141,8160
5001300US0635,"Congressional District 35 (113th Congress), California",292228,2451,22086,40951,14048,38762,24347,4367,14366,26588,51070,25940,15716,11536
5001300US0636,"Congressional District 36 (113th Congress), California",256418,8663,19938,11349,5438,33259,10082,4334,13207,29019,52988,41411,15395,11335
5001300US0637,"Congressional District 37 (113th Congress), California",337204,1463,16542,21539,7834,29572,13694,21339,20873,52803,78031,39688,23237,10589
5001300US0638,"Congressional District 38 (113th Congress), California",313517,1349,18531,41430,14530,36393,23233,6605,16928,28405,68807,27141,15814,14351
5001300US0639,"Congressional District 39 (113th Congress), California",337808,1276,16275,42129,20117,36929,15413,7435,27812,38340,70597,32443,15667,13375
5001300US0640,"Congressional District 40 (113th Congress), California",282196,2747,21569,50968,15598,36740,20062,4046,9776,24020,45666,25344,18578,7082
5001300US0641,"Congressional District 41 (113th Congress), California",282480,2374,23313,30756,11459,39381,19459,3867,12076,25506,61247,24001,15007,14034
5001300US0642,"Congressional District 42 (113th Congress), California",302646,2166,26654,35096,11482,37462,16094,5571,19666,29774,59766,26867,13588,18460
5001300US0643,"Congressional District 43 (113th Congress), California",312094,1392,15689,35756,9308,33906,25126,9220,16379,36358,64245,34025,19389,11301
5001300US0644,"Congressional District 44 (113th Congress), California",276364,1936,18381,43077,11773,31452,26355,4237,11444,26499,52582,22822,17529,8277
5001300US0645,"Congressional District 45 (113th Congress), California",356142,1118,16258,44539,12679,39375,9340,8962,36715,57358,75872,27791,15323,10812
5001300US0646,"Congressional District 46 (113th Congress), California",317880,2622,25044,48970,10225,36529,10131,4475,18372,40272,49366,43246,21117,7511
5001300US0647,"Congressional District 47 (113th Congress), California",330154,1640,18003,39559,12163,35719,18805,7211,21444,37221,71172,35013,19370,12834
5001300US0648,"Congressional District 48 (113th Congress), California",353696,1286,16551,43067,13800,39593,12144,8388,36721,53514,64834,34312,19940,9546
5001300US0649,"Congressional District 49 (113th Congress), California",304138,3528,17632,31488,10693,33285,10108,7607,23032,48585,57111,30873,15898,14298
5001300US0650,"Congressional District 50 (113th Congress), California",305218,6725,26730,29282,8563,37627,11620,5201,19356,37588,58078,32524,16664,15260
5001300US0651,"Congressional District 51 (113th Congress), California",259883,6603,17904,19992,7150,33663,13160,3886,11598,25004,51998,33862,16079,18984
5001300US0652,"Congressional District 52 (113th Congress), California",351796,721,11771,38434,7071,33736,10135,10917,28778,65861,79312,32453,15116,17491
5001300US0653,"Congressional District 53 (113th Congress), California",341541,1137,17059,23595,7720,38338,14750,7680,21822,44604,80830,40504,18478,25024
5001300US0801,"Congressional District 1 (113th Congress), Colorado",390074,4383,25758,21804,11236,38368,16297,14268,32686,64788,78877,45303,20254,16052
5001300US0802,"Congressional District 2 (113th Congress), Colorado",392202,6902,25002,34025,9239,42101,12076,11157,23903,59798,88171,45602,18640,15586
5001300US0803,"Congressional District 3 (113th Congress), Colorado",334256,18662,33455,15373,7068,40639,16047,6108,18509,28386,70966,45116,16033,17894
5001300US0804,"Congressional District 4 (113th Congress), Colorado",347487,18450,24878,32630,9705,40935,16286,10207,24625,40442,67330,28551,16398,17050
5001300US0805,"Congressional District 5 (113th Congress), Colorado",316789,3149,22693,21142,5666,36351,12846,8763,19881,40119,68491,34315,19168,24205
5001300US0806,"Congressional District 6 (113th Congress), Colorado",365694,4090,24411,23864,11056,42593,19853,14990,34208,50957,71189,33862,18268,16353
5001300US0807,"Congressional District 7 (113th Congress), Colorado",363275,5176,30735,31390,12522,43753,21813,10704,22931,47371,65060,34770,18684,18366
5001300US0901,"Congressional District 1 (113th Congress), Connecticut",352286,711,17089,37484,9352,36964,14552,8348,39234,36682,93105,27415,15366,15984
5001300US0902,"Congressional District 2 (113th Congress), Connecticut",354115,2523,20608,45930,8057,40474,14444,6127,23319,30925,90497,39925,14621,16665
5001300US0903,"Congressional District 3 (113th Congress), Connecticut",356480,1051,17905,40606,8424,38398,14154,8710,24157,33680,114044,27814,14742,12795
5001300US0904,"Congressional District 4 (113th Congress), Connecticut",341784,698,21477,26414,8791,34716,10610,9934,45392,55694,73715,26544,19101,8698
5001300US0905,"Congressional District 5 (113th Congress), Connecticut",354747,1962,22365,43511,8926,41289,11870,8469,28874,37978,92816,26399,17613,12675
5001300US1000,"Congressional District (at Large) (113th Congress), Delaware",422009,4530,26078,39004,8608,50101,20018,6868,41675,41658,102754,37585,19100,24030
5001300US1198,"Delegate District (at Large) (113th Congress), District of Columbia",315177,190,9045,4061,2049,15429,9872,12854,16986,70378,62446,28909,28470,54488
5001300US1201,"Congressional District 1 (113th Congress), Florida",298489,2995,21956,14527,6734,40089,15032,4823,21262,32397,62476,35924,16350,23924
5001300US1202,"Congressional District 2 (113th Congress), Florida",300666,4302,18032,12829,5686,35303,10257,4952,16262,33089,70980,32772,15594,40608
5001300US1203,"Congressional District 3 (113th Congress), Florida",283689,6614,17508,14473,6608,36744,15628,4565,17118,25391,79330,25866,12890,20954
5001300US1204,"Congressional District 4 (113th Congress), Florida",335518,1275,22093,19907,9239,40033,20910,6206,39919,40495,68268,32862,15698,18613
5001300US1205,"Congressional District 5 (113th Congress), Florida",282569,2187,16742,16339,7581,36478,18479,5249,19602,31119,60876,41292,14182,12443
5001300US1206,"Congressional District 6 (113th Congress), Florida",283724,3667,18045,18258,7369,40670,11900,4366,23458,31202,63348,34513,13915,13013
5001300US1207,"Congressional District 7 (113th Congress), Florida",328777,1140,19907,18453,8859,41448,12748,10169,30704,49027,72054,34551,16476,13241
5001300US1208,"Congressional District 8 (113th Congress), Florida",285446,2406,18394,28438,5812,39701,11265,4725,14997,37535,61231,29270,15314,16358
5001300US1209,"Congressional District 9 (113th Congress), Florida",336556,1535,21634,14477,7668,46952,22112,6399,18351,40406,59502,70949,15680,10891
5001300US1210,"Congressional District 10 (113th Congress), Florida",322445,2746,18850,15785,8593,40464,13611,7649,21102,41386,61087,65568,14225,11379
5001300US1211,"Congressional District 11 (113th Congress), Florida",224604,2827,17268,12680,5421,35707,11858,4324,13063,20570,52667,25068,11547,11604
5001300US1212,"Congressional District 12 (113th Congress), Florida",294054,1348,17373,16524,8892,39072,13032,7869,27235,39521,68121,28350,14739,11978
5001300US1213,"Congressional District 13 (113th Congress), Florida",313942,1366,17678,24829,9042,42086,11106,6143,30203,42492,67242,32489,17240,12026
5001300US1214,"Congressional District 14 (113th Congress), Florida",323892,1529,20786,16796,9252,37870,15975,8183,31985,43898,71468,37978,15072,13100
5001300US1215,"Congressional District 15 (113th Congress), Florida",315533,6581,20575,20323,10836,43117,14969,7145,26009,36039,71374,29685,15253,13627
5001300US1216,"Congressional District 16 (113th Congress), Florida",280163,2404,20021,17495,6227,42095,9272,4823,21525,35014,62597,32480,15562,10648
5001300US1217,"Congressional District 17 (113th Congress), Florida",250344,17318,18677,11437,6104,35592,11960,3380,15230,23463,53958,24136,13848,15241
