"","j_AFFGEOID","sc_pctInfo","lag_spctInfo","LSAcl_.pctInfo","sc_pctFinReal","lag_spctFinReal","LSAcl_.pctFinReal","sc_pctProfSci","lag_spctProfSci","LSAcl_.pctProfSci","sc_pctEduHealth","lag_spctEduHealth","LSAcl_.pctEduHealth","sc_pctArtsEntFood","lag_spctArtsEntFood","LSAcl_.pctArtsEntFood","sc_pctOtherServ","lag_spctOtherServ","LSAcl_.pctOtherServ","sc_pctPubAdmin","lag_spctPubAdmin","LSAcl_.pctPubAdmin","sc_pctAgriculture","lag_spctAgriculture","LSAcl_.pctAgriculture","sc_pctConstruction","lag_spctConstruction","LSAcl_.pctConstruction","sc_pctManuf","lag_spctManuf","LSAcl_.pctManuf","sc_pctWholesale","lag_spctWholesale","LSAcl_.pctWholesale","sc_pctRetail","lag_spctRetail","LSAcl_.pctRetail","sc_pctTransport","lag_spctTransport","LSAcl_.pctTransport"
"286","5001600US7298",-0.183314188570977,0,2,-0.393464786628203,0,2,-0.276783613000038,0,2,0.16230919074349,0,1,0.0440955174780078,0,1,0.738892192927542,0,1,1.916198527376,0,1,-0.215727103815295,0,2,-0.593153061720478,0,2,-0.240410409516876,0,2,0.229468833524887,0,1,1.11489862394468,0,1,-0.897805525113032,0,2
"287","5001600US5501",-0.528225433768032,-0.605387978299806,5,-0.380276598040184,-0.616699140283363,5,-0.721214873889829,-0.725235575087973,5,-0.179959563537961,-1.12651264639725,5,-0.505875532810184,-0.999516863250252,5,-0.722187305753156,-1.5349651041951,2,-0.603432758185163,-0.984132581705279,2,-0.279857158395902,-0.330879400617961,5,-0.212897531151058,-1.2233697158829,5,1.98537219307544,0.573150454930321,1,0.87545742426866,-0.192913585586279,5,0.281840379950955,-1.31889928010276,5,0.101669869417072,-1.02921146189174,5
"288","5001600US5503",-0.538682668532696,-0.245288643266502,5,-0.317962522323047,-0.0883596043611163,5,-1.25833809920341,-0.723791389218737,2,0.338621655015144,0.319179891765964,5,-0.378203585429346,-0.505265258613692,5,-0.977420740474687,-0.649654521471818,2,-0.451207400235857,-0.497325800197288,5,0.936600694927165,0.304136542329873,5,-0.378516527678629,-0.339833731856434,5,1.25320786445203,1.43178315126013,1,-0.203983859091002,0.043396662905669,5,0.925389449415202,-0.0829133819049283,5,-0.153288297705257,-0.298768458477578,5
"289","5001600US5504",-0.230007386229533,-0.529801892133537,5,-0.27434036209605,-0.363265903120995,5,-0.0404565452355009,-0.735955139318764,5,0.853571767628346,-0.228968025158185,5,0.54608932586416,-0.519334342653391,5,-0.365969867082921,-0.474228448025254,5,-0.529654850479089,-0.739953313208419,5,-0.563197902460541,-0.090183987628544,5,-1.42880285845313,-0.404922253008575,5,0.929841840693253,2.42927426550038,1,-0.588726329558896,0.67040464563763,5,-0.529606250925965,-0.0754748854022599,5,-0.139750763464935,-0.566869159820754,5
"290","5001600US5505",-0.293093547546772,-0.185494286822088,5,0.361608072496913,-0.21794462387579,5,-0.373756881801984,-0.412676406493997,5,0.143906636962692,0.264104101877567,5,-0.657115079806052,-0.220930490753552,5,-0.768779367097401,-0.669781754181072,5,-0.898991338360133,-0.436703822541061,5,-0.334060162449629,-0.115328215417515,5,-0.479387837446078,-0.673462982001056,5,1.85925634037287,1.56515599982695,1,1.35676272744864,-0.114642278128153,5,-0.198594685805545,-0.199240756609815,5,-0.962954662400143,-0.475353707107554,5
"291","5001600US5507",-0.718262020549006,-0.390138644749875,5,-0.336703930051455,0.0213346321973285,5,-1.30636052639667,-0.723598414421235,2,0.0271669283546503,0.275905987707084,5,-0.593326115300332,-0.126351431482524,5,-0.703043236855625,-0.526653659728455,5,-0.430509980875948,-0.27713572525927,5,1.01418408158948,0.138395656778748,5,0.247448510358951,0.063345861348761,5,1.77888525079691,0.892657086903551,1,-0.119818168566124,0.0248716660854717,5,-0.0752953301094281,0.202746762694962,5,-0.117433260654586,-0.162315557252453,5
"292","5001600US5502",0.57867489371661,-0.511178479414112,5,0.327544700211448,-0.398471125583676,5,0.157720705681196,-0.894044973422749,5,0.890200188624839,-0.0203869687678752,5,-0.338703830677697,-0.463574271442603,5,-0.896916818393114,-0.565091249125306,5,-0.0835464781594191,-0.576322083849476,5,0.130241827179635,0.174348636780187,5,-0.621473954449625,-0.345829880207765,5,0.31765120555018,1.8623147829814,5,-0.433334445390444,0.284231447248154,5,-0.375398210419833,0.280556931365324,5,-1.26960938690048,-0.0119493151534732,5
"293","5001600US5506",-0.562419221007395,-0.511580379703221,5,-0.544706235578374,-0.558961306495949,5,-1.04675491253185,-0.900149851154375,2,-0.507395985204954,-0.452766700739281,5,-0.585231925390488,-0.489181070021503,5,-0.694053025495099,-1.15234498898434,2,-0.530181203340575,-0.707007436781271,5,0.251500372006747,0.00726680827234431,5,-0.430677583950412,-0.803928054967583,5,3.02775875998895,0.979070585319594,1,-0.311965761831931,-0.417389235015705,5,-0.173798945044419,-0.677133888558661,5,-0.593724547481874,-0.902042191454645,5
"294","5001600US5508",-0.555897421985297,-0.563397998959103,5,-0.0723815836421923,-0.486519265132313,5,-0.98665406842597,-1.16836239255488,2,-0.567666239385592,0.0378620745502718,5,-0.358260855472756,-0.117109119308133,5,-1.00689012531345,-0.599924291902809,5,-0.778657087865121,-0.319291904006901,5,0.283690098749791,0.640611258301534,5,0.0156406011643082,-0.0362310707347171,5,2.40626684525661,1.58928429922958,1,0.438719007271917,-0.416018061495025,5,-0.210389196641575,0.409637651302376,5,-0.0829118219206722,-0.367295306784504,5
"295","5001600US3701",-0.431457097556264,-0.210112898785973,5,-0.834852491875077,-0.251701508463629,5,-0.413695522356656,0.0728856991855675,5,1.32480431227715,0.196554645285077,5,-0.097571412606436,-0.119245917251175,5,0.178905865372495,0.173906417310499,5,0.113590277931254,0.527498237582991,5,-0.110309937916957,-0.130005896189695,5,-0.16575324637018,0.349552017753494,5,0.547293092906873,0.0947024080204828,5,-0.649626625834035,-0.435603509121791,5,-0.362368859556404,0.21124133163355,5,-0.857113570121822,-0.39890892849368,5
